Subject;Task;Lang.;Trial;Score;Item;notes;;;;;;;;;;;;;;;;;;;
1;form;L1;1;1;22;;;;;;;;;;;;;;;;;;;;
1;form;L1;2;1;17;;;;;;;;;;;;;;;;;;;;
1;form;L1;3;1;6;;;;;;;;;;;;;;;;;;;;
1;form;L1;4;1;16;;;;;;;;;;;;;;;;;;;;
1;form;L1;5;1;7;;;;;;;;;;;;;;;;;;;;
1;form;L1;6;1;15;;;;;;;;;;;;;;;;;;;;
1;form;L1;7;1;10;;;;;;;;;;;;;;;;;;;;
1;form;L1;8;1;20;;;;;;;;;;;;;;;;;;;;
1;form;L1;9;1;0;;;;;;;;;;;;;;;;;;;;
1;form;L1;10;1;3;;;;;;;;;;;;;;;;;;;;
1;form;L1;11;1;23;;;;;;;;;;;;;;;;;;;;
1;form;L1;12;1;5;;;;;;;;;;;;;;;;;;;;
1;form;L1;13;1;8;;;;;;;;;;;;;;;;;;;;
1;form;L1;14;1;19;;;;;;;;;;;;;;;;;;;;
1;form;L1;15;1;2;;;;;;;;;;;;;;;;;;;;
1;form;L1;16;1;1;;;;;;;;;;;;;;;;;;;;
1;form;L1;17;1;12;;;;;;;;;;;;;;;;;;;;
1;form;L1;18;1;9;;;;;;;;;;;;;;;;;;;;
1;form;L1;19;1;21;;;;;;;;;;;;;;;;;;;;
1;form;L1;20;1;13;;;;;;;;;;;;;;;;;;;;
1;form;L1;21;1;11;;;;;;;;;;;;;;;;;;;;
1;form;L1;22;1;18;;;;;;;;;;;;;;;;;;;;
1;form;L1;23;1;4;;;;;;;;;;;;;;;;;;;;
1;form;L1;24;1;14;;;;;;;;;;;;;;;;;;;;
1;kategori;L1;1;1;16;;;;;;;;;;;;;;;;;;;;
1;kategori;L1;2;1;6;;;;;;;;;;;;;;;;;;;;
1;kategori;L1;3;1;3;;;;;;;;;;;;;;;;;;;;
1;kategori;L1;4;1;20;;;;;;;;;;;;;;;;;;;;
1;kategori;L1;5;1;21;;;;;;;;;;;;;;;;;;;;
1;kategori;L1;6;1;9;;;;;;;;;;;;;;;;;;;;
1;kategori;L1;7;1;18;;;;;;;;;;;;;;;;;;;;
1;kategori;L1;8;1;23;;;;;;;;;;;;;;;;;;;;
1;kategori;L1;9;1;1;;;;;;;;;;;;;;;;;;;;
1;kategori;L1;10;1;0;;;;;;;;;;;;;;;;;;;;
1;kategori;L1;11;1;7;;;;;;;;;;;;;;;;;;;;
1;kategori;L1;12;1;19;;;;;;;;;;;;;;;;;;;;
1;kategori;L1;13;1;13;;;;;;;;;;;;;;;;;;;;
1;kategori;L1;14;1;22;;;;;;;;;;;;;;;;;;;;
1;kategori;L1;15;1;10;;;;;;;;;;;;;;;;;;;;
1;kategori;L1;16;1;4;;;;;;;;;;;;;;;;;;;;
1;kategori;L1;17;1;5;;;;;;;;;;;;;;;;;;;;
1;kategori;L1;18;1;17;;;;;;;;;;;;;;;;;;;;
1;kategori;L1;19;1;12;;;;;;;;;;;;;;;;;;;;
1;kategori;L1;20;1;8;;;;;;;;;;;;;;;;;;;;
1;kategori;L1;21;1;15;;;;;;;;;;;;;;;;;;;;
1;kategori;L1;22;1;11;;;;;;;;;;;;;;;;;;;;
1;kategori;L1;23;1;2;;;;;;;;;;;;;;;;;;;;
1;kategori;L1;24;1;14;;;;;;;;;;;;;;;;;;;;
1;form;L2;1;1;9;;;;;;;;;;;;;;;;;;;;
1;form;L2;2;1;5;;;;;;;;;;;;;;;;;;;;
1;form;L2;3;1;21;;;;;;;;;;;;;;;;;;;;
1;form;L2;4;1;10;;;;;;;;;;;;;;;;;;;;
1;form;L2;5;1;23;;;;;;;;;;;;;;;;;;;;
1;form;L2;6;1;18;;;;;;;;;;;;;;;;;;;;
1;form;L2;7;1;12;;;;;;;;;;;;;;;;;;;;
1;form;L2;8;1;0;;;;;;;;;;;;;;;;;;;;
1;form;L2;9;1;4;;;;;;;;;;;;;;;;;;;;
1;form;L2;10;1;13;;;;;;;;;;;;;;;;;;;;
1;form;L2;11;1;6;;;;;;;;;;;;;;;;;;;;
1;form;L2;12;1;14;;;;;;;;;;;;;;;;;;;;
1;form;L2;13;1;19;;;;;;;;;;;;;;;;;;;;
1;form;L2;14;1;7;;;;;;;;;;;;;;;;;;;;
1;form;L2;15;1;8;;;;;;;;;;;;;;;;;;;;
1;form;L2;16;1;16;;;;;;;;;;;;;;;;;;;;
1;form;L2;17;1;20;;;;;;;;;;;;;;;;;;;;
1;form;L2;18;1;11;;;;;;;;;;;;;;;;;;;;
1;form;L2;19;1;2;;;;;;;;;;;;;;;;;;;;
1;form;L2;20;1;1;;;;;;;;;;;;;;;;;;;;
1;form;L2;21;1;15;;;;;;;;;;;;;;;;;;;;
1;form;L2;22;1;17;;;;;;;;;;;;;;;;;;;;
1;form;L2;23;1;3;;;;;;;;;;;;;;;;;;;;
1;form;L2;24;1;22;;;;;;;;;;;;;;;;;;;;
1;kategori;L2;1;1;14;;;;;;;;;;;;;;;;;;;;
1;kategori;L2;2;1;23;;;;;;;;;;;;;;;;;;;;
1;kategori;L2;3;1;22;;;;;;;;;;;;;;;;;;;;
1;kategori;L2;4;1;0;;;;;;;;;;;;;;;;;;;;
1;kategori;L2;5;1;19;;;;;;;;;;;;;;;;;;;;
1;kategori;L2;6;1;18;;;;;;;;;;;;;;;;;;;;
1;kategori;L2;7;1;17;;;;;;;;;;;;;;;;;;;;
1;kategori;L2;8;1;10;;;;;;;;;;;;;;;;;;;;
1;kategori;L2;9;1;6;;;;;;;;;;;;;;;;;;;;
1;kategori;L2;10;1;3;;;;;;;;;;;;;;;;;;;;
1;kategori;L2;11;1;20;;;;;;;;;;;;;;;;;;;;
1;kategori;L2;12;1;7;;;;;;;;;;;;;;;;;;;;
1;kategori;L2;13;1;8;;;;;;;;;;;;;;;;;;;;
1;kategori;L2;14;1;5;;;;;;;;;;;;;;;;;;;;
1;kategori;L2;15;1;4;;;;;;;;;;;;;;;;;;;;
1;kategori;L2;16;1;2;;;;;;;;;;;;;;;;;;;;
1;kategori;L2;17;1;12;;;;;;;;;;;;;;;;;;;;
1;kategori;L2;18;1;16;;;;;;;;;;;;;;;;;;;;
1;kategori;L2;19;1;9;;;;;;;;;;;;;;;;;;;;
1;kategori;L2;20;1;13;;;;;;;;;;;;;;;;;;;;
1;kategori;L2;21;1;11;;;;;;;;;;;;;;;;;;;;
1;kategori;L2;22;1;15;;;;;;;;;;;;;;;;;;;;
1;kategori;L2;23;1;1;;;;;;;;;;;;;;;;;;;;
1;kategori;L2;24;1;21;;;;;;;;;;;;;;;;;;;;
2;form;L1;1;1;4;;;;;;;;;;;;;;;;;;;;
2;form;L1;2;1;17;;;;;;;;;;;;;;;;;;;;
2;form;L1;3;1;15;;;;;;;;;;;;;;;;;;;;
2;form;L1;4;1;16;;;;;;;;;;;;;;;;;;;;
2;form;L1;5;1;5;;;;;;;;;;;;;;;;;;;;
2;form;L1;6;1;23;;;;;;;;;;;;;;;;;;;;
2;form;L1;7;1;14;;;;;;;;;;;;;;;;;;;;
2;form;L1;8;0;19;;;;;;;;;;;;;;;;;;;;
2;form;L1;9;1;2;;;;;;;;;;;;;;;;;;;;
2;form;L1;10;1;12;;;;;;;;;;;;;;;;;;;;
2;form;L1;11;1;9;;;;;;;;;;;;;;;;;;;;
2;form;L1;12;1;8;;;;;;;;;;;;;;;;;;;;
2;form;L1;13;0;11;;;;;;;;;;;;;;;;;;;;
2;form;L1;14;1;22;;;;;;;;;;;;;;;;;;;;
2;form;L1;15;1;10;;;;;;;;;;;;;;;;;;;;
2;form;L1;16;1;7;;;;;;;;;;;;;;;;;;;;
2;form;L1;17;1;1;;;;;;;;;;;;;;;;;;;;
2;form;L1;18;0;3;;;;;;;;;;;;;;;;;;;;
2;form;L1;19;1;6;;;;;;;;;;;;;;;;;;;;
2;form;L1;20;1;20;;;;;;;;;;;;;;;;;;;;
2;form;L1;21;1;0;;;;;;;;;;;;;;;;;;;;
2;form;L1;22;0;13;;;;;;;;;;;;;;;;;;;;
2;form;L1;23;1;18;;;;;;;;;;;;;;;;;;;;
2;form;L1;24;1;21;;;;;;;;;;;;;;;;;;;;
2;kategori;L1;1;1;22;;;;;;;;;;;;;;;;;;;;
2;kategori;L1;2;1;1;;;;;;;;;;;;;;;;;;;;
2;kategori;L1;3;1;15;;;;;;;;;;;;;;;;;;;;
2;kategori;L1;4;1;7;;;;;;;;;;;;;;;;;;;;
2;kategori;L1;5;1;12;;;;;;;;;;;;;;;;;;;;
2;kategori;L1;6;1;11;;;;;;;;;;;;;;;;;;;;
2;kategori;L1;7;1;4;;;;;;;;;;;;;;;;;;;;
2;kategori;L1;8;1;23;;;;;;;;;;;;;;;;;;;;
2;kategori;L1;9;1;20;;;;;;;;;;;;;;;;;;;;
2;kategori;L1;10;1;3;;;;;;;;;;;;;;;;;;;;
2;kategori;L1;11;1;18;;;;;;;;;;;;;;;;;;;;
2;kategori;L1;12;1;17;;;;;;;;;;;;;;;;;;;;
2;kategori;L1;13;1;10;;;;;;;;;;;;;;;;;;;;
2;kategori;L1;14;1;14;;;;;;;;;;;;;;;;;;;;
2;kategori;L1;15;1;0;;;;;;;;;;;;;;;;;;;;
2;kategori;L1;16;1;13;;;;;;;;;;;;;;;;;;;;
2;kategori;L1;17;1;16;;;;;;;;;;;;;;;;;;;;
2;kategori;L1;18;1;21;;;;;;;;;;;;;;;;;;;;
2;kategori;L1;19;1;6;;;;;;;;;;;;;;;;;;;;
2;kategori;L1;20;1;8;;;;;;;;;;;;;;;;;;;;
2;kategori;L1;21;1;19;;;;;;;;;;;;;;;;;;;;
2;kategori;L1;22;1;5;;;;;;;;;;;;;;;;;;;;
2;kategori;L1;23;1;9;;;;;;;;;;;;;;;;;;;;
2;kategori;L1;24;1;2;;;;;;;;;;;;;;;;;;;;
2;form;L2;1;1;18;;;;;;;;;;;;;;;;;;;;
2;form;L2;2;1;5;;;;;;;;;;;;;;;;;;;;
2;form;L2;3;1;0;;;;;;;;;;;;;;;;;;;;
2;form;L2;4;1;20;;;;;;;;;;;;;;;;;;;;
2;form;L2;5;0;11;;;;;;;;;;;;;;;;;;;;
2;form;L2;6;1;9;;;;;;;;;;;;;;;;;;;;
2;form;L2;7;1;10;;;;;;;;;;;;;;;;;;;;
2;form;L2;8;1;22;;;;;;;;;;;;;;;;;;;;
2;form;L2;9;1;15;;;;;;;;;;;;;;;;;;;;
2;form;L2;10;0;12;;;;;;;;;;;;;;;;;;;;
2;form;L2;11;1;8;;;;;;;;;;;;;;;;;;;;
2;form;L2;12;0;3;;;;;;;;;;;;;;;;;;;;
2;form;L2;13;0;13;;;;;;;;;;;;;;;;;;;;
2;form;L2;14;1;6;;;;;;;;;;;;;;;;;;;;
2;form;L2;15;1;17;;;;;;;;;;;;;;;;;;;;
2;form;L2;16;1;1;;;;;;;;;;;;;;;;;;;;
2;form;L2;17;1;23;;;;;;;;;;;;;;;;;;;;
2;form;L2;18;0;7;;;;;;;;;;;;;;;;;;;;
2;form;L2;19;1;21;;;;;;;;;;;;;;;;;;;;
2;form;L2;20;1;19;;;;;;;;;;;;;;;;;;;;
2;form;L2;21;1;2;;;;;;;;;;;;;;;;;;;;
2;form;L2;22;1;4;;;;;;;;;;;;;;;;;;;;
2;form;L2;23;1;14;;;;;;;;;;;;;;;;;;;;
2;form;L2;24;1;16;;;;;;;;;;;;;;;;;;;;
2;kategori;L2;1;1;22;;;;;;;;;;;;;;;;;;;;
2;kategori;L2;2;1;12;;;;;;;;;;;;;;;;;;;;
2;kategori;L2;3;1;2;;;;;;;;;;;;;;;;;;;;
2;kategori;L2;4;1;1;;;;;;;;;;;;;;;;;;;;
2;kategori;L2;5;1;10;;;;;;;;;;;;;;;;;;;;
2;kategori;L2;6;1;15;;;;;;;;;;;;;;;;;;;;
2;kategori;L2;7;1;17;;;;;;;;;;;;;;;;;;;;
2;kategori;L2;8;1;23;;;;;;;;;;;;;;;;;;;;
2;kategori;L2;9;1;3;;;;;;;;;;;;;;;;;;;;
2;kategori;L2;10;1;6;;;;;;;;;;;;;;;;;;;;
2;kategori;L2;11;1;5;;;;;;;;;;;;;;;;;;;;
2;kategori;L2;12;1;20;;;;;;;;;;;;;;;;;;;;
2;kategori;L2;13;1;4;;;;;;;;;;;;;;;;;;;;
2;kategori;L2;14;1;16;;;;;;;;;;;;;;;;;;;;
2;kategori;L2;15;1;19;;;;;;;;;;;;;;;;;;;;
2;kategori;L2;16;1;11;;;;;;;;;;;;;;;;;;;;
2;kategori;L2;17;1;9;;;;;;;;;;;;;;;;;;;;
2;kategori;L2;18;1;18;;;;;;;;;;;;;;;;;;;;
2;kategori;L2;19;1;8;;;;;;;;;;;;;;;;;;;;
2;kategori;L2;20;1;21;;;;;;;;;;;;;;;;;;;;
2;kategori;L2;21;1;14;;;;;;;;;;;;;;;;;;;;
2;kategori;L2;22;1;7;;;;;;;;;;;;;;;;;;;;
2;kategori;L2;23;1;13;;;;;;;;;;;;;;;;;;;;
2;kategori;L2;24;1;0;;;;;;;;;;;;;;;;;;;;
3;form;L1;1;1;19;;;;;;;;;;;;;;;;;;;;
3;form;L1;2;1;20;;;;;;;;;;;;;;;;;;;;
3;form;L1;3;1;9;;;;;;;;;;;;;;;;;;;;
3;form;L1;4;1;23;;;;;;;;;;;;;;;;;;;;
3;form;L1;5;1;22;;;;;;;;;;;;;;;;;;;;
3;form;L1;6;1;5;;;;;;;;;;;;;;;;;;;;
3;form;L1;7;1;18;;;;;;;;;;;;;;;;;;;;
3;form;L1;8;1;8;;;;;;;;;;;;;;;;;;;;
3;form;L1;9;1;11;;;;;;;;;;;;;;;;;;;;
3;form;L1;10;1;16;;;;;;;;;;;;;;;;;;;;
3;form;L1;11;1;1;;;;;;;;;;;;;;;;;;;;
3;form;L1;12;1;14;;;;;;;;;;;;;;;;;;;;
3;form;L1;13;1;13;;;;;;;;;;;;;;;;;;;;
3;form;L1;14;1;4;;;;;;;;;;;;;;;;;;;;
3;form;L1;15;1;17;;;;;;;;;;;;;;;;;;;;
3;form;L1;16;1;21;;;;;;;;;;;;;;;;;;;;
3;form;L1;17;1;10;;;;;;;;;;;;;;;;;;;;
3;form;L1;18;1;15;;;;;;;;;;;;;;;;;;;;
3;form;L1;19;1;3;;;;;;;;;;;;;;;;;;;;
3;form;L1;20;1;12;;;;;;;;;;;;;;;;;;;;
3;form;L1;21;1;0;;;;;;;;;;;;;;;;;;;;
3;form;L1;22;1;2;;;;;;;;;;;;;;;;;;;;
3;form;L1;23;1;6;;;;;;;;;;;;;;;;;;;;
3;form;L1;24;1;7;;;;;;;;;;;;;;;;;;;;
3;kategori;L1;1;1;10;;;;;;;;;;;;;;;;;;;;
3;kategori;L1;2;1;12;;;;;;;;;;;;;;;;;;;;
3;kategori;L1;3;1;2;;;;;;;;;;;;;;;;;;;;
3;kategori;L1;4;1;3;;;;;;;;;;;;;;;;;;;;
3;kategori;L1;5;1;15;;;;;;;;;;;;;;;;;;;;
3;kategori;L1;6;1;18;;;;;;;;;;;;;;;;;;;;
3;kategori;L1;7;1;16;;;;;;;;;;;;;;;;;;;;
3;kategori;L1;8;1;21;;;;;;;;;;;;;;;;;;;;
3;kategori;L1;9;1;9;;;;;;;;;;;;;;;;;;;;
3;kategori;L1;10;1;5;;;;;;;;;;;;;;;;;;;;
3;kategori;L1;11;1;13;;;;;;;;;;;;;;;;;;;;
3;kategori;L1;12;1;7;;;;;;;;;;;;;;;;;;;;
3;kategori;L1;13;1;20;;;;;;;;;;;;;;;;;;;;
3;kategori;L1;14;1;1;;;;;;;;;;;;;;;;;;;;
3;kategori;L1;15;1;6;;;;;;;;;;;;;;;;;;;;
3;kategori;L1;16;1;23;;;;;;;;;;;;;;;;;;;;
3;kategori;L1;17;1;22;;;;;;;;;;;;;;;;;;;;
3;kategori;L1;18;1;19;;;;;;;;;;;;;;;;;;;;
3;kategori;L1;19;1;4;;;;;;;;;;;;;;;;;;;;
3;kategori;L1;20;1;11;;;;;;;;;;;;;;;;;;;;
3;kategori;L1;21;1;8;;;;;;;;;;;;;;;;;;;;
3;kategori;L1;22;1;17;;;;;;;;;;;;;;;;;;;;
3;kategori;L1;23;1;14;;;;;;;;;;;;;;;;;;;;
3;kategori;L1;24;1;0;;;;;;;;;;;;;;;;;;;;
3;form;L2;1;1;19;;;;;;;;;;;;;;;;;;;;
3;form;L2;2;1;15;;;;;;;;;;;;;;;;;;;;
3;form;L2;3;1;22;;;;;;;;;;;;;;;;;;;;
3;form;L2;4;1;17;;;;;;;;;;;;;;;;;;;;
3;form;L2;5;1;10;;;;;;;;;;;;;;;;;;;;
3;form;L2;6;0;14;;;;;;;;;;;;;;;;;;;;
3;form;L2;7;1;21;;;;;;;;;;;;;;;;;;;;
3;form;L2;8;1;18;;;;;;;;;;;;;;;;;;;;
3;form;L2;9;1;16;;;;;;;;;;;;;;;;;;;;
3;form;L2;10;1;3;;;;;;;;;;;;;;;;;;;;
3;form;L2;11;1;1;;;;;;;;;;;;;;;;;;;;
3;form;L2;12;1;9;;;;;;;;;;;;;;;;;;;;
3;form;L2;13;1;8;;;;;;;;;;;;;;;;;;;;
3;form;L2;14;1;6;;;;;;;;;;;;;;;;;;;;
3;form;L2;15;1;4;;;;;;;;;;;;;;;;;;;;
3;form;L2;16;1;20;;;;;;;;;;;;;;;;;;;;
3;form;L2;17;1;2;;;;;;;;;;;;;;;;;;;;
3;form;L2;18;1;12;;;;;;;;;;;;;;;;;;;;
3;form;L2;19;1;0;;;;;;;;;;;;;;;;;;;;
3;form;L2;20;1;23;;;;;;;;;;;;;;;;;;;;
3;form;L2;21;1;7;;;;;;;;;;;;;;;;;;;;
3;form;L2;22;1;11;;;;;;;;;;;;;;;;;;;;
3;form;L2;23;1;5;;;;;;;;;;;;;;;;;;;;
3;form;L2;24;1;13;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;1;1;20;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;2;1;9;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;3;1;14;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;4;1;0;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;5;1;23;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;6;1;13;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;7;1;10;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;8;1;4;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;9;1;3;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;10;1;7;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;11;1;19;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;12;1;18;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;13;1;15;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;14;1;12;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;15;1;16;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;16;1;17;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;17;1;1;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;18;1;2;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;19;1;21;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;20;1;22;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;21;1;5;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;22;1;6;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;23;1;8;;;;;;;;;;;;;;;;;;;;
3;kategori;L2;24;1;11;;;;;;;;;;;;;;;;;;;;
4;form;L1;1;0;8;;;;;;;;;;;;;;;;;;;;
4;form;L1;2;1;7;;;;;;;;;;;;;;;;;;;;
4;form;L1;3;1;14;;;;;;;;;;;;;;;;;;;;
4;form;L1;4;1;9;;;;;;;;;;;;;;;;;;;;
4;form;L1;5;1;20;;;;;;;;;;;;;;;;;;;;
4;form;L1;6;1;0;;;;;;;;;;;;;;;;;;;;
4;form;L1;7;1;22;;;;;;;;;;;;;;;;;;;;
4;form;L1;8;1;5;;;;;;;;;;;;;;;;;;;;
4;form;L1;9;1;6;;;;;;;;;;;;;;;;;;;;
4;form;L1;10;1;10;;;;;;;;;;;;;;;;;;;;
4;form;L1;11;1;11;;;;;;;;;;;;;;;;;;;;
4;form;L1;12;1;13;;;;;;;;;;;;;;;;;;;;
4;form;L1;13;1;17;;;;;;;;;;;;;;;;;;;;
4;form;L1;14;1;15;;;;;;;;;;;;;;;;;;;;
4;form;L1;15;1;19;;;;;;;;;;;;;;;;;;;;
4;form;L1;16;1;1;;;;;;;;;;;;;;;;;;;;
4;form;L1;17;1;2;;;;;;;;;;;;;;;;;;;;
4;form;L1;18;1;3;;;;;;;;;;;;;;;;;;;;
4;form;L1;19;1;4;;;;;;;;;;;;;;;;;;;;
4;form;L1;20;1;16;;;;;;;;;;;;;;;;;;;;
4;form;L1;21;1;18;;;;;;;;;;;;;;;;;;;;
4;form;L1;22;1;12;;;;;;;;;;;;;;;;;;;;
4;form;L1;23;1;23;;;;;;;;;;;;;;;;;;;;
4;form;L1;24;1;21;;;;;;;;;;;;;;;;;;;;
4;kategori;L1;1;1;7;;;;;;;;;;;;;;;;;;;;
4;kategori;L1;2;1;12;;;;;;;;;;;;;;;;;;;;
4;kategori;L1;3;1;20;;;;;;;;;;;;;;;;;;;;
4;kategori;L1;4;1;16;;;;;;;;;;;;;;;;;;;;
4;kategori;L1;5;1;9;;;;;;;;;;;;;;;;;;;;
4;kategori;L1;6;1;18;;;;;;;;;;;;;;;;;;;;
4;kategori;L1;7;1;8;;;;;;;;;;;;;;;;;;;;
4;kategori;L1;8;1;0;;;;;;;;;;;;;;;;;;;;
4;kategori;L1;9;1;6;;;;;;;;;;;;;;;;;;;;
4;kategori;L1;10;1;5;;;;;;;;;;;;;;;;;;;;
4;kategori;L1;11;1;13;;;;;;;;;;;;;;;;;;;;
4;kategori;L1;12;1;23;;;;;;;;;;;;;;;;;;;;
4;kategori;L1;13;1;22;;;;;;;;;;;;;;;;;;;;
4;kategori;L1;14;1;4;;;;;;;;;;;;;;;;;;;;
4;kategori;L1;15;1;14;;;;;;;;;;;;;;;;;;;;
4;kategori;L1;16;1;17;;;;;;;;;;;;;;;;;;;;
4;kategori;L1;17;1;15;;;;;;;;;;;;;;;;;;;;
4;kategori;L1;18;1;19;;;;;;;;;;;;;;;;;;;;
4;kategori;L1;19;1;2;;;;;;;;;;;;;;;;;;;;
4;kategori;L1;20;1;21;;;;;;;;;;;;;;;;;;;;
4;kategori;L1;21;1;1;;;;;;;;;;;;;;;;;;;;
4;kategori;L1;22;1;3;;;;;;;;;;;;;;;;;;;;
4;kategori;L1;23;1;11;;;;;;;;;;;;;;;;;;;;
4;kategori;L1;24;1;10;;;;;;;;;;;;;;;;;;;;
4;form;L2;1;1;12;;;;;;;;;;;;;;;;;;;;
4;form;L2;2;1;19;;;;;;;;;;;;;;;;;;;;
4;form;L2;3;1;22;;;;;;;;;;;;;;;;;;;;
4;form;L2;4;0;7;;;;;;;;;;;;;;;;;;;;
4;form;L2;5;1;4;;;;;;;;;;;;;;;;;;;;
4;form;L2;6;1;10;;;;;;;;;;;;;;;;;;;;
4;form;L2;7;1;2;;;;;;;;;;;;;;;;;;;;
4;form;L2;8;1;18;;;;;;;;;;;;;;;;;;;;
4;form;L2;9;1;14;;;;;;;;;;;;;;;;;;;;
4;form;L2;10;1;13;;;;;;;;;;;;;;;;;;;;
4;form;L2;11;1;0;;;;;;;;;;;;;;;;;;;;
4;form;L2;12;1;3;;;;;;;;;;;;;;;;;;;;
4;form;L2;13;1;15;;;;;;;;;;;;;;;;;;;;
4;form;L2;14;1;21;;;;;;;;;;;;;;;;;;;;
4;form;L2;15;1;20;;;;;;;;;;;;;;;;;;;;
4;form;L2;16;1;17;;;;;;;;;;;;;;;;;;;;
4;form;L2;17;1;16;;;;;;;;;;;;;;;;;;;;
4;form;L2;18;1;11;;;;;;;;;;;;;;;;;;;;
4;form;L2;19;1;23;;;;;;;;;;;;;;;;;;;;
4;form;L2;20;1;5;;;;;;;;;;;;;;;;;;;;
4;form;L2;21;1;6;;;;;;;;;;;;;;;;;;;;
4;form;L2;22;1;1;;;;;;;;;;;;;;;;;;;;
4;form;L2;23;1;8;;;;;;;;;;;;;;;;;;;;
4;form;L2;24;1;9;;;;;;;;;;;;;;;;;;;;
4;kategori;L2;1;1;16;;;;;;;;;;;;;;;;;;;;
4;kategori;L2;2;1;14;;;;;;;;;;;;;;;;;;;;
4;kategori;L2;3;1;0;;;;;;;;;;;;;;;;;;;;
4;kategori;L2;4;1;21;;;;;;;;;;;;;;;;;;;;
4;kategori;L2;5;1;17;;;;;;;;;;;;;;;;;;;;
4;kategori;L2;6;1;9;;;;;;;;;;;;;;;;;;;;
4;kategori;L2;7;1;6;;;;;;;;;;;;;;;;;;;;
4;kategori;L2;8;1;7;;;;;;;;;;;;;;;;;;;;
4;kategori;L2;9;1;1;;;;;;;;;;;;;;;;;;;;
4;kategori;L2;10;1;19;;;;;;;;;;;;;;;;;;;;
4;kategori;L2;11;1;8;;;;;;;;;;;;;;;;;;;;
4;kategori;L2;12;1;10;;;;;;;;;;;;;;;;;;;;
4;kategori;L2;13;1;18;;;;;;;;;;;;;;;;;;;;
4;kategori;L2;14;1;4;;;;;;;;;;;;;;;;;;;;
4;kategori;L2;15;1;15;;;;;;;;;;;;;;;;;;;;
4;kategori;L2;16;1;11;;;;;;;;;;;;;;;;;;;;
4;kategori;L2;17;1;12;;;;;;;;;;;;;;;;;;;;
4;kategori;L2;18;1;22;;;;;;;;;;;;;;;;;;;;
4;kategori;L2;19;1;23;;;;;;;;;;;;;;;;;;;;
4;kategori;L2;20;1;20;;;;;;;;;;;;;;;;;;;;
4;kategori;L2;21;1;13;;;;;;;;;;;;;;;;;;;;
4;kategori;L2;22;1;3;;;;;;;;;;;;;;;;;;;;
4;kategori;L2;23;1;5;;;;;;;;;;;;;;;;;;;;
4;kategori;L2;24;1;2;;;;;;;;;;;;;;;;;;;;
5;form;L1;1;1;2;;;;;;;;;;;;;;;;;;;;
5;form;L1;2;1;10;;;;;;;;;;;;;;;;;;;;
5;form;L1;3;1;18;;;;;;;;;;;;;;;;;;;;
5;form;L1;4;1;23;;;;;;;;;;;;;;;;;;;;
5;form;L1;5;1;0;;;;;;;;;;;;;;;;;;;;
5;form;L1;6;1;22;;;;;;;;;;;;;;;;;;;;
5;form;L1;7;1;4;;;;;;;;;;;;;;;;;;;;
